Film,Genre,Lead Studio,Audience  score %,Profitability Ratio,Rotten Tomatoes %,Worldwide Gross,Year,Budget,Net Income
Tangled,Animation,Disney,88,1.365692308,89,355.08,2010,259.9999999,95.08000006
The Back-up Plan,Comedy,CBS,47,2.202571429,20,77.09,2010,34.99999999,42.09000001
The Curious Case of Benjamin Button,Fantasy,Warner Bros.,81,1.78394375,73,285.431,2008,160,125.431
The Duchess,Drama,Paramount,68,3.207850222,60,43.305978,2008,13.5,29.805978
The Heartbreak Kid,Comedy,Paramount,41,2.129444167,30,127.76665,2007,59.99999999,67.76665001
The Invention of Lying,Comedy,Warner Bros.,47,1.751351351,56,32.4,2009,18.5,13.9
The Proposal,Comedy,Disney,74,7.8675,43,314.7,2009,40,274.7
The Time Traveler's Wife,Drama,Paramount,65,2.598205128,38,101.33,2009,39,62.33
The Twilight Saga: New Moon,Drama,Summit,78,14.1964,27,709.82,2009,50,659.82
The Ugly Truth,Comedy,Independent,68,5.402631579,14,205.3,2009,38,167.3
Twilight,Romance,Summit,82,10.18002703,49,376.661,2008,36.99999999,339.661
Twilight: Breaking Dawn,Romance,Independent,68,6.383363636,26,702.17,2011,110,592.17
Tyler Perry's Why Did I get Married,Romance,Independent,47,3.7241924,46,55.862886,2007,15,40.862886
Valentine's Day,Comedy,Warner Bros.,54,4.184038462,17,217.57,2010,51.99999999,165.57
Waiting For Forever,Romance,Independent,53,0.005,6,0.025,2011,5,-4.975
Waitress,Romance,Independent,67,11.0897415,89,22.179483,2007,2,20.179483
WALL-E,Animation,Disney,89,2.896019067,96,521.283432,2008,180,341.283432
Water For Elephants,Drama,20th Century Fox,72,3.081421053,60,117.094,2011,38,79.094
What Happens in Vegas,Comedy,Fox,72,6.267647029,28,219.367646,2008,35,184.367646
When in Rome,Comedy,Disney,44,,15,43.04,2010,#DIV/0!,#DIV/0!
You Will Meet a Tall Dark Stranger,Comedy,Independent,35,1.211818182,43,26.66,2010,22,4.660000003
Youth in Revolt,Comedy,The Weinstein Company,52,1.09,68,19.62,2010,18,1.62
Zack and Miri Make a Porno,Romance,The Weinstein Company,70,1.747541667,64,41.941,2008,24,17.941
